
-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 12:51:06 ------------ 

|  № | Лексема | Строка | Индекс в ТИ |
|  0 |    t    |     1   |             |
|  1 |    f    |     1   |             |
|  2 |    i    |     1   |       0     |
|  3 |    (    |     1   |             |
|  4 |    t    |     1   |             |
|  5 |    i    |     1   |       1     |
|  6 |    ,    |     1   |             |
|  7 |    t    |     1   |             |
|  8 |    i    |     1   |       2     |
|  9 |    )    |     1   |             |
| 10 |    [    |     1   |             |
| 11 |    n    |     2   |             |
| 12 |    t    |     2   |             |
| 13 |    i    |     2   |       3     |
| 14 |    ;    |     2   |             |
| 15 |    i    |     3   |       3     |
| 16 |    =    |     3   |             |
| 17 |    i    |     3   |       1     |
| 18 |    i    |     3   |       2     |
| 19 |    +    |     3   |             |
| 20 |    ;    |     3   |             |
| 21 |    e    |     4   |             |
| 22 |    i    |     4   |       3     |
| 23 |    ;    |     4   |             |
| 24 |    ]    |     5   |             |
| 25 |    p    |     6   |             |
| 26 |    f    |     6   |             |
| 27 |    i    |     6   |       4     |
| 28 |    (    |     6   |             |
| 29 |    t    |     6   |             |
| 30 |    i    |     6   |       5     |
| 31 |    ,    |     6   |             |
| 32 |    t    |     6   |             |
| 33 |    i    |     6   |       6     |
| 34 |    ,    |     6   |             |
| 35 |    t    |     6   |             |
| 36 |    i    |     6   |       7     |
| 37 |    )    |     6   |             |
| 38 |    [    |     6   |             |
| 39 |    n    |     7   |             |
| 40 |    t    |     7   |             |
| 41 |    i    |     7   |       8     |
| 42 |    ;    |     7   |             |
| 43 |    i    |     8   |       8     |
| 44 |    =    |     8   |             |
| 45 |    i    |     8   |       9     |
| 46 |    i    |     8   |       5     |
| 47 |    i    |     8   |       6     |
| 48 |    #    |    -1   |             |
| 49 |    #    |    -1   |             |
| 50 |    #    |    -1   |             |
| 51 |    ;    |     8   |             |
| 52 |    o    |     9   |             |
| 53 |    i    |     9   |       8     |
| 54 |    ;    |     9   |             |
| 55 |    o    |    10   |             |
| 56 |    i    |    10   |       7     |
| 57 |    ;    |    10   |             |
| 58 |    ^    |    11   |             |
| 59 |    ;    |    11   |             |
| 60 |    e    |    12   |             |
| 61 |    ;    |    12   |             |
| 62 |    ]    |    13   |             |
| 63 |    m    |    14   |             |
| 64 |    [    |    14   |             |
| 65 |    n    |    15   |             |
| 66 |    t    |    15   |             |
| 67 |    i    |    15   |      10     |
| 68 |    ;    |    15   |             |
| 69 |    i    |    16   |      10     |
| 70 |    =    |    16   |             |
| 71 |    l    |    16   |      11     |
| 72 |    ;    |    16   |             |
| 73 |    n    |    17   |             |
| 74 |    t    |    17   |             |
| 75 |    i    |    17   |      12     |
| 76 |    ;    |    17   |             |
| 77 |    i    |    18   |      12     |
| 78 |    =    |    18   |             |
| 79 |    i    |    18   |      13     |
| 80 |    i    |    18   |      10     |
| 81 |    #    |    -1   |             |
| 82 |    #    |    -1   |             |
| 83 |    ;    |    18   |             |
| 84 |    o    |    19   |             |
| 85 |    i    |    19   |      12     |
| 86 |    ;    |    19   |             |
| 87 |    n    |    20   |             |
| 88 |    t    |    20   |             |
| 89 |    i    |    20   |      14     |
| 90 |    ;    |    20   |             |
| 91 |    i    |    21   |      14     |
| 92 |    =    |    21   |             |
| 93 |    l    |    21   |      15     |
| 94 |    ;    |    21   |             |
| 95 |    n    |    22   |             |
| 96 |    t    |    22   |             |
| 97 |    i    |    22   |      16     |
| 98 |    ;    |    22   |             |
| 99 |    i    |    23   |      16     |
|100 |    =    |    23   |             |
|101 |    l    |    23   |      17     |
|102 |    ;    |    23   |             |
|103 |    n    |    25   |             |
|104 |    t    |    25   |             |
|105 |    i    |    25   |      18     |
|106 |    ;    |    25   |             |
|107 |    i    |    26   |      18     |
|108 |    =    |    26   |             |
|109 |    i    |    26   |       0     |
|110 |    i    |    26   |      14     |
|111 |    i    |    26   |      16     |
|112 |    @    |    -1   |             |
|113 |    2    |    -1   |             |
|114 |    #    |    -1   |             |
|115 |    ;    |    26   |             |
|116 |    i    |    28   |       4     |
|117 |    (    |    28   |             |
|118 |    l    |    28   |      19     |
|119 |    ,    |    28   |             |
|120 |    l    |    28   |      20     |
|121 |    ,    |    28   |             |
|122 |    i    |    28   |      18     |
|123 |    )    |    28   |             |
|124 |    ;    |    28   |             |
|125 |    ]    |    29   |             |

-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 15:32:23 ------------ 

|  № | Лексема | Строка  | Индекс в ТИ |
|  0 |    t    |     1   |             |
|  1 |    f    |     1   |             |
|  2 |    i    |     1   |       0     |
|  3 |    (    |     1   |             |
|  4 |    [    |     1   |             |
|  5 |    ]    |     1   |             |
|  6 |    m    |     2   |             |
|  7 |    [    |     2   |             |
|  8 |    ]    |     2   |             |

-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 15:32:30 ------------ 

|  № | Лексема | Строка  | Индекс в ТИ |
|  0 |    t    |     1   |             |
|  1 |    f    |     1   |             |
|  2 |    i    |     1   |       0     |
|  3 |    (    |     1   |             |
|  4 |    [    |     1   |             |
|  5 |    ]    |     1   |             |
|  6 |    m    |     2   |             |
